model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
rf,k-means,0.6,0.567,0.567,0.6,0.2,0.226,0.226,0.2,22.145,0.334,0.602,0.483,0.524,0.494,0.658,1.1e-05,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0020058155059814453
svc,k-means,0.5,0.473,0.473,0.5,0.224,0.239,0.239,0.224,4.517,0.002,0.634,0.597,0.689,0.664,0.312,3e-06,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0020058155059814453
logreg,k-means,0.6,0.58,0.58,0.6,0.2,0.21,0.21,0.2,9.433,0.121,0.593,0.524,0.596,0.559,0.645,0.0,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0020058155059814453
mlp,k-means,0.55,0.5,0.5,0.55,0.187,0.213,0.213,0.187,4.912,0.045,0.644,0.585,0.664,0.633,0.709,2.6e-05,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0020058155059814453
xgb,k-means,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,4.65,0.31,0.618,0.606,0.715,0.704,0.672,8e-06,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0020058155059814453
rf,k-means,0.65,0.607,0.607,0.65,0.122,0.164,0.164,0.122,16.775,0.256,0.655,0.57,0.634,0.6,0.717,9e-06,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0020058155059814453
svc,k-means,0.65,0.633,0.633,0.65,0.255,0.268,0.268,0.255,3.226,0.002,0.651,0.621,0.715,0.696,0.706,7e-06,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0020058155059814453
logreg,k-means,0.7,0.687,0.687,0.7,0.292,0.307,0.307,0.292,8.648,0.117,0.641,0.574,0.648,0.615,0.702,1.3e-05,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0020058155059814453
mlp,k-means,0.35,0.287,0.287,0.35,0.122,0.119,0.119,0.122,5.164,0.054,0.665,0.61,0.689,0.661,0.737,3.1e-05,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0020058155059814453
xgb,k-center,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,6.92,8.221,0.508,0.228,0.152,0.252,0.487,8e-06,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0024747848510742188
rf,k-center,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,23.796,0.505,0.514,0.223,0.142,0.25,0.505,1.7e-05,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0024747848510742188
svc,k-center,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,7.81,0.002,0.513,0.221,0.14,0.249,0.51,4e-06,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0024747848510742188
logreg,k-center,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,8.19,0.008,0.51,0.209,0.122,0.241,0.504,0.0,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0024747848510742188
mlp,k-center,0.7,0.627,0.627,0.7,0.187,0.259,0.259,0.187,11.661,0.037,0.505,0.224,0.147,0.249,0.427,2.9e-05,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0024747848510742188
xgb,k-center,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,6.457,2.257,0.524,0.248,0.179,0.269,0.539,8e-06,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0024747848510742188
rf,k-center,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,21.482,0.421,0.513,0.216,0.131,0.245,0.531,1.5e-05,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0024747848510742188
svc,k-center,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,3.922,0.002,0.508,0.207,0.119,0.239,0.476,7e-06,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0024747848510742188
logreg,k-center,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,3.696,0.115,0.501,0.183,0.082,0.222,0.561,1.1e-05,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0024747848510742188
mlp,k-center,0.65,0.573,0.573,0.65,0.122,0.196,0.196,0.122,8.407,0.123,0.502,0.192,0.096,0.228,0.624,4.2e-05,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0024747848510742188
xgb,ag,0.65,0.58,0.58,0.65,0.2,0.256,0.256,0.2,5.793,2.992,0.58,0.458,0.493,0.465,0.609,1e-05,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.001959085464477539
rf,ag,0.45,0.393,0.393,0.45,0.187,0.203,0.203,0.187,16.635,0.305,0.56,0.525,0.62,0.586,0.587,1e-05,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.001959085464477539
svc,ag,0.6,0.547,0.547,0.6,0.2,0.232,0.232,0.2,6.906,0.002,0.505,0.501,0.677,0.699,0.435,3e-06,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.001959085464477539
logreg,ag,0.4,0.38,0.38,0.4,0.122,0.147,0.147,0.122,3.262,0.005,0.561,0.534,0.636,0.606,0.582,0.0,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.001959085464477539
mlp,ag,0.35,0.307,0.307,0.35,0.2,0.213,0.213,0.2,6.975,1.522,0.637,0.554,0.619,0.585,0.702,6.2e-05,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.001959085464477539
xgb,ag,0.7,0.653,0.653,0.7,0.292,0.333,0.333,0.292,5.518,3.323,0.611,0.554,0.634,0.6,0.664,8e-06,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.001959085464477539
rf,ag,0.5,0.42,0.42,0.5,0.158,0.183,0.183,0.158,19.457,0.585,0.667,0.623,0.707,0.684,0.726,1.8e-05,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.001959085464477539
svc,ag,0.5,0.453,0.453,0.5,0.158,0.18,0.18,0.158,3.525,0.002,0.577,0.567,0.685,0.671,0.493,7e-06,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.001959085464477539
logreg,ag,0.5,0.487,0.487,0.5,0.158,0.169,0.169,0.158,3.974,0.006,0.583,0.544,0.636,0.604,0.6,1.8e-05,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.001959085464477539
mlp,ag,0.25,0.187,0.187,0.25,0.158,0.107,0.107,0.158,11.885,3.022,0.636,0.578,0.657,0.626,0.697,3.7e-05,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.001959085464477539
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.888,13.18,0.344,0.345,0.453,0.403,0.273,8e-06,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0023567676544189453
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,22.933,0.345,0.319,0.245,0.266,0.247,0.262,1e-05,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0023567676544189453
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.686,0.001,0.382,0.386,0.515,0.473,0.29,3e-06,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0023567676544189453
logreg,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,5.766,0.142,0.41,0.415,0.574,0.553,0.282,0.0,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0023567676544189453
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.331,1.594,0.324,0.259,0.288,0.263,0.271,4.1e-05,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0023567676544189453
xgb,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,5.656,1.714,0.424,0.428,0.582,0.561,0.424,1.1e-05,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0023567676544189453
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,18.93,0.371,0.322,0.261,0.292,0.265,0.272,1.8e-05,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0023567676544189453
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.708,0.002,0.345,0.243,0.247,0.243,0.274,7e-06,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0023567676544189453
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.822,0.007,0.342,0.289,0.333,0.298,0.289,1.6e-05,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0023567676544189453
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.035,0.108,0.349,0.284,0.319,0.289,0.28,3.9e-05,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0023567676544189453
xgb,craig,,,,,,,,,9.179,4.488,0.5,0.181,0.08,0.221,0.5,7e-06,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0020694732666015625
rf,craig,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,19.195,0.25,0.5,0.181,0.08,0.221,0.5,6e-06,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0020694732666015625
svc,craig,,,,,,,,,3.331,0.002,0.5,0.181,0.08,0.221,0.454,1e-06,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0020694732666015625
logreg,craig,,,,,,,,,6.993,0.113,0.501,0.184,0.085,0.223,0.522,0.0,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0020694732666015625
mlp,craig,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,6.948,0.033,0.5,0.182,0.081,0.222,0.512,4.9e-05,original,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0020694732666015625
xgb,craig,,,,,,,,,6.087,42.126,0.5,0.181,0.08,0.221,0.5,2.1e-05,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0020694732666015625
rf,craig,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,21.031,0.204,0.5,0.181,0.08,0.221,0.5,5e-06,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0020694732666015625
svc,craig,,,,,,,,,11.413,0.002,0.5,0.181,0.08,0.221,0.475,2e-06,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0020694732666015625
logreg,craig,,,,,,,,,8.334,0.126,0.5,0.181,0.08,0.221,0.529,1.2e-05,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0020694732666015625
mlp,craig,0.7,0.6,0.733,0.7,0.245,0.327,0.249,0.245,6.631,0.038,0.5,0.181,0.08,0.221,0.528,4.3e-05,latent,10,5,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0020694732666015625
xgb,random,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,5.99,1.463,0.564,0.531,0.628,0.596,0.603,1e-05,original,10,6,,,,
rf,random,0.6,0.527,0.527,0.6,0.122,0.179,0.179,0.122,19.05,0.433,0.586,0.524,0.6,0.563,0.626,2e-05,original,10,6,,,,
svc,random,0.7,0.627,0.627,0.7,0.187,0.259,0.259,0.187,5.569,0.002,0.591,0.504,0.563,0.527,0.363,3e-06,original,10,6,,,,
logreg,random,0.65,0.607,0.607,0.65,0.122,0.164,0.164,0.122,6.095,0.008,0.565,0.508,0.586,0.548,0.588,0.0,original,10,6,,,,
mlp,random,0.65,0.607,0.607,0.65,0.122,0.164,0.164,0.122,4.386,1.273,0.608,0.528,0.593,0.557,0.644,2.6e-05,original,10,6,,,,
xgb,k-means,0.55,0.527,0.527,0.55,0.292,0.31,0.31,0.292,10.367,0.622,0.559,0.378,0.373,0.378,0.63,8e-06,original,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0019834041595458984
rf,k-means,0.45,0.34,0.34,0.45,0.1,0.095,0.095,0.1,18.209,0.211,0.593,0.526,0.598,0.561,0.635,6e-06,original,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0019834041595458984
svc,k-means,0.5,0.473,0.473,0.5,0.224,0.239,0.239,0.224,4.823,0.002,0.59,0.601,0.751,0.783,0.327,4e-06,original,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0019834041595458984
logreg,k-means,0.4,0.38,0.38,0.4,0.122,0.147,0.147,0.122,3.515,0.041,0.614,0.606,0.719,0.71,0.657,0.0,original,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0019834041595458984
mlp,k-means,0.4,0.367,0.367,0.4,0.2,0.217,0.217,0.2,6.194,1.569,0.627,0.579,0.664,0.635,0.669,3.8e-05,original,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0019834041595458984
xgb,k-means,0.5,0.48,0.48,0.5,0.274,0.293,0.293,0.274,5.243,0.065,0.616,0.547,0.618,0.583,0.662,3.7e-05,latent,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0019834041595458984
rf,k-means,0.35,0.253,0.253,0.35,0.122,0.065,0.065,0.122,15.698,0.16,0.654,0.617,0.707,0.684,0.716,7e-06,latent,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0019834041595458984
svc,k-means,0.35,0.287,0.287,0.35,0.122,0.119,0.119,0.122,5.355,0.002,0.66,0.656,0.759,0.756,0.707,6e-06,latent,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0019834041595458984
logreg,k-means,0.4,0.367,0.367,0.4,0.2,0.217,0.217,0.2,5.522,0.068,0.662,0.635,0.728,0.711,0.708,1.1e-05,latent,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0019834041595458984
mlp,k-means,0.2,0.18,0.18,0.2,0.187,0.183,0.183,0.187,5.363,0.044,0.595,0.543,0.625,0.591,0.666,2.7e-05,latent,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0019834041595458984
xgb,k-center,0.6,0.493,0.493,0.6,0.122,0.196,0.196,0.122,4.193,0.911,0.536,0.34,0.322,0.342,0.52,7e-06,original,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0016977787017822266
rf,k-center,0.65,0.58,0.58,0.65,0.2,0.256,0.256,0.2,19.202,0.371,0.531,0.281,0.228,0.293,0.57,1.3e-05,original,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0016977787017822266
svc,k-center,0.7,0.627,0.627,0.7,0.187,0.259,0.259,0.187,6.729,0.002,0.501,0.187,0.09,0.225,0.366,3e-06,original,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0016977787017822266
logreg,k-center,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,11.244,0.007,0.515,0.221,0.138,0.249,0.653,0.0,original,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0016977787017822266
mlp,k-center,0.6,0.58,0.58,0.6,0.2,0.21,0.21,0.2,6.471,0.038,0.555,0.451,0.494,0.462,0.585,3.4e-05,original,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0016977787017822266
xgb,k-center,0.65,0.607,0.607,0.65,0.122,0.164,0.164,0.122,4.138,0.23,0.515,0.218,0.134,0.247,0.568,9e-06,latent,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0016977787017822266
rf,k-center,0.55,0.493,0.493,0.55,0.292,0.32,0.32,0.292,17.572,0.172,0.503,0.188,0.09,0.226,0.564,5e-06,latent,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0016977787017822266
svc,k-center,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,6.9,0.01,0.5,0.182,0.081,0.222,0.508,5e-06,latent,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0016977787017822266
logreg,k-center,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,10.434,0.107,0.5,0.182,0.081,0.222,0.628,1.2e-05,latent,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0016977787017822266
mlp,k-center,0.5,0.473,0.473,0.5,0.224,0.239,0.239,0.224,4.86,0.16,0.547,0.386,0.391,0.386,0.604,2.6e-05,latent,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0016977787017822266
xgb,ag,0.6,0.587,0.587,0.6,0.3,0.293,0.293,0.3,4.056,0.169,0.564,0.402,0.41,0.402,0.62,7e-06,original,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0017232894897460938
rf,ag,0.5,0.333,0.333,0.5,0.0,0.0,0.0,0.0,17.964,0.26,0.5,0.438,0.682,0.779,0.546,6e-06,original,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0017232894897460938
svc,ag,0.45,0.393,0.393,0.45,0.187,0.203,0.203,0.187,7.025,0.002,0.596,0.555,0.646,0.615,0.38,3e-06,original,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0017232894897460938
logreg,ag,0.4,0.373,0.373,0.4,0.3,0.303,0.303,0.3,6.245,0.472,0.543,0.419,0.448,0.424,0.588,0.0,original,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0017232894897460938
mlp,ag,0.3,0.253,0.253,0.3,0.292,0.271,0.271,0.292,7.016,0.033,0.578,0.464,0.504,0.473,0.63,2.9e-05,original,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0017232894897460938
xgb,ag,0.7,0.693,0.693,0.7,0.187,0.185,0.185,0.187,4.798,0.267,0.622,0.525,0.58,0.546,0.68,9e-06,latent,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0017232894897460938
rf,ag,0.5,0.333,0.333,0.5,0.0,0.0,0.0,0.0,17.438,0.26,0.556,0.35,0.329,0.352,0.61,7e-06,latent,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0017232894897460938
svc,ag,0.4,0.313,0.313,0.4,0.122,0.111,0.111,0.122,8.056,0.002,0.646,0.617,0.711,0.692,0.285,5e-06,latent,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0017232894897460938
logreg,ag,0.45,0.427,0.427,0.45,0.187,0.204,0.204,0.187,6.25,0.111,0.627,0.581,0.667,0.637,0.688,1.4e-05,latent,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0017232894897460938
mlp,ag,0.25,0.187,0.187,0.25,0.158,0.107,0.107,0.158,7.017,3.746,0.622,0.568,0.649,0.617,0.674,4.6e-05,latent,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0017232894897460938
xgb,lc,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,7.821,0.278,0.396,0.361,0.434,0.388,0.334,9e-06,original,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.001961946487426758
rf,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,19.418,0.412,0.391,0.361,0.438,0.391,0.334,1.6e-05,original,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.001961946487426758
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.944,0.002,0.371,0.288,0.313,0.291,0.3,2e-06,original,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.001961946487426758
logreg,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.845,0.005,0.375,0.289,0.313,0.292,0.304,0.0,original,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.001961946487426758
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.313,0.042,0.371,0.304,0.342,0.31,0.316,4.9e-05,original,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.001961946487426758
xgb,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,5.024,0.065,0.45,0.445,0.63,0.644,0.391,9e-06,latent,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.001961946487426758
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,20.034,0.467,0.352,0.248,0.252,0.248,0.287,1.7e-05,latent,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.001961946487426758
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.808,0.002,0.349,0.247,0.252,0.247,0.27,3e-06,latent,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.001961946487426758
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.406,0.005,0.349,0.262,0.279,0.263,0.272,1.4e-05,latent,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.001961946487426758
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.049,0.022,0.345,0.281,0.317,0.287,0.279,3.7e-05,latent,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.001961946487426758
xgb,craig,0.4,0.267,0.267,0.4,0.2,0.133,0.133,0.2,8.948,0.349,0.5,0.181,0.08,0.221,0.5,7e-06,original,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0026483535766601562
rf,craig,0.6,0.467,0.467,0.6,0.2,0.267,0.267,0.2,16.911,0.6,0.542,0.32,0.287,0.325,0.608,1.6e-05,original,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0026483535766601562
svc,craig,0.6,0.467,0.467,0.6,0.2,0.267,0.267,0.2,5.614,0.002,0.501,0.186,0.087,0.224,0.387,2e-06,original,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0026483535766601562
logreg,craig,0.6,0.467,0.533,0.6,0.2,0.267,0.267,0.2,8.323,0.007,0.552,0.439,0.476,0.447,0.597,0.0,original,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0026483535766601562
mlp,craig,0.5,0.333,0.4,0.5,0.0,0.0,0.133,0.0,7.07,0.052,0.553,0.381,0.38,0.381,0.608,5.2e-05,original,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0026483535766601562
xgb,craig,0.5,0.333,0.4,0.5,0.0,0.0,0.133,0.0,7.111,4.826,0.5,0.181,0.08,0.221,0.5,1.4e-05,latent,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0026483535766601562
rf,craig,0.6,0.467,0.467,0.6,0.2,0.267,0.267,0.2,20.991,0.433,0.5,0.181,0.08,0.221,0.61,1.9e-05,latent,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0026483535766601562
svc,craig,0.5,0.333,0.4,0.5,0.0,0.0,0.133,0.0,11.646,0.001,0.5,0.182,0.081,0.222,0.368,3e-06,latent,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0026483535766601562
logreg,craig,0.6,0.467,0.533,0.6,0.2,0.267,0.267,0.2,6.116,0.34,0.539,0.304,0.263,0.312,0.641,1.1e-05,latent,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0026483535766601562
mlp,craig,0.4,0.333,0.333,0.4,0.374,0.365,0.365,0.374,11.036,0.078,0.598,0.47,0.504,0.477,0.658,4.4e-05,latent,10,6,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0026483535766601562
xgb,random,0.75,0.733,0.733,0.75,0.274,0.292,0.292,0.274,9.471,0.032,0.596,0.548,0.634,0.601,0.587,7e-06,original,10,7,,,,
rf,random,0.75,0.733,0.733,0.75,0.274,0.292,0.292,0.274,20.501,0.436,0.532,0.486,0.571,0.531,0.581,1.1e-05,original,10,7,,,,
svc,random,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,8.532,0.002,0.535,0.322,0.293,0.326,0.413,6e-06,original,10,7,,,,
logreg,random,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,5.413,0.006,0.574,0.516,0.594,0.557,0.574,0.0,original,10,7,,,,
mlp,random,0.55,0.52,0.52,0.55,0.245,0.261,0.261,0.245,7.783,0.032,0.651,0.573,0.64,0.607,0.693,3.9e-05,original,10,7,,,,
xgb,k-means,0.65,0.633,0.633,0.65,0.255,0.268,0.268,0.255,5.569,0.162,0.568,0.471,0.521,0.486,0.595,8e-06,original,10,7,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0024824142456054688
rf,k-means,0.65,0.633,0.633,0.65,0.255,0.268,0.268,0.255,19.434,0.378,0.588,0.476,0.519,0.487,0.635,1.4e-05,original,10,7,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0024824142456054688
svc,k-means,0.6,0.553,0.553,0.6,0.255,0.286,0.286,0.255,4.605,0.002,0.575,0.483,0.537,0.501,0.388,3e-06,original,10,7,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0024824142456054688
logreg,k-means,0.45,0.427,0.427,0.45,0.187,0.204,0.204,0.187,9.677,0.009,0.583,0.497,0.556,0.519,0.62,0.0,original,10,7,279.1992485523224,188.99216079711914,1.21644691184715e-06,0.0024824142456054688
